dict-idx,long-text,short-text,WD-PID,phrase11,phrase12,phrase13,phrase21,phrase22,phrase23,sample1,sample2,sample3
0,/organization/organization/headquarters./location/mailing_address/state_province_region,headquarters state/province/region,P159,located in state/province/region.,located-in_state/province/region,/isLocatedIn,state_province_region,is headquartered in,/state_province_region,"['Earlham College', 'Indiana']","['Starbucks', 'Washington']","['Dark Horse Comics', 'Oregon']"
1,/education/educational_institution/colors,education institution official color,P6364,P4622,P4621,"P462	Color of educational institution",Colors of educational institutions.,/education/educational_institution/colors,/education/educational_institution/colors,"['Hofstra University', 'blue']","['Louisiana State University', 'purple']","['James Madison University', 'gold']"
2,/people/person/profession,occupation,P106,occupation,occupation,occupation.,profession of songwriter,"(person, profession, profession)",is an author.,"['Alan and Marilyn Bergman', 'songwriter']","['Jeph Loeb', 'writer']","['Alexander Payne', 'film producer']"
3,/film/film/costume_design_by,costume designer,P2515,costumeDesigner,costume_designer,costumeDesigner,costume design by,costume design by,/film/film/costume_design_by.,"['The Wolfman', 'Milena Canonero']","['Chungking Express', 'William Chang']","['Galaxy Quest', 'Albert Wolsky']"
4,/film/film/genre,film genre,P136,genre,genre.,genre,film genre,The genre of the film is...,"(film genre, drama)","['The Chronicles of Narnia: Prince Caspian', 'fantasy']","['Red Dragon', 'mystery fiction']","['Superman', 'science fiction']"
5,/celebrities/celebrity/celebrity_friends./celebrities/friendship/friend,friend,,P1771,friendship_of,friendOf,celebrity is friends with celebrity,celebrity_friends with.,celebrity friend,"['Eve', 'Gwen Stefani']","['Jennifer Aniston', 'Matt LeBlanc']","['Robert Mitchum', 'Laraine Day']"
6,/tv/tv_producer/programs_produced./tv/tv_producer_term/producer_type,tv producer type,,producedBy,/tv/producerType,producedByProducerType,The producer type is executive producer.,producer type,producer type,"['Ron Howard', 'executive producer']","['Peter Casey', 'executive producer']","['Danny Smith', 'executive producer']"
7,/film/film/executive_produced_by,executive producer,P1431,executiveProducedBy,executiveProducedBy,producedBy,executive produced by,Film executive produced by,film is executive produced by person,"['Iron Man', 'Jon Favreau']","['Cowboys & Aliens', 'Jon Favreau']","['Hereafter', 'Frank Marshall']"
8,/sports/sports_team/roster./basketball/basketball_roster_position/position,position played on baskteball team,,position_of,hasPosition,/sports/basketballPosition,/sports/sports_team/roster./basketball/basketball_roster_position/position,/basketball_roster_position/position,/sports/sports_team/roster./basketball/basketball_roster_position/position,"[""Minnesota Golden Gophers men's basketball"", 'swingman']","[""Wake Forest Demon Deacons men's basketball"", 'small forward']","[""Oklahoma Sooners men's basketball"", 'point guard']"
9,/award/award_nominee/award_nominations./award/award_nomination/nominated_for,nominated for work,P1411,nominatedFor,nominated_for,nominatedFor,nominated_for,nominated for,nominated_for,"['Parker Posey', 'For Your Consideration']","['Roy Scheider', 'All That Jazz']","['Mark Gatiss', 'Sherlock']"
10,/award/award_category/winners./award/award_honor/award_winner,award received by,P166,/wdt/P166,winner_of,/award/award_winner,award winner in award category,/award/award_category/winners./award/award_honor/award_winner,/award/award_category/winners./award/award_honor/award_winner,"['MTV Video Music Award for Best Visual Effects', 'Robbie Williams']","['Primetime Emmy Award for Outstanding Variety, Music or Comedy Series', 'Dave Goelz']","['Academy Award for Best Cinematography', 'Geoffrey Unsworth']"
11,/award/award_winner/awards_won./award/award_honor/award_winner,award shared with,P1706,P166.,/P166/award_winner,awardedTo,/award/award_winner/awards_won.,/award/award_winner/awards_won./award/award_honor/award_winner,award winner awards won award honor award winner,"['Clint Black', 'Joe Diffie']","['Nancy Marchand', 'Dominic Chianese']","['Nelsan Ellis', 'Anna Camp']"
12,/music/artist/origin,country of origin,P495,country or city of origin,instance/homeCity,place of origin,originated in,/music/artist/origin: Location of the artist's origin,Originating from,"['The Doors', 'Los Angeles']","['Stevie Nicks', 'Phoenix']","['Katy Perry', 'Santa Barbara']"
13,/food/food/nutrients./food/nutrition_fact/nutrient,nutrient,,P2868,P2868,P2868,nutrient in,nutrient zinc,"(avocado, nutrient, L-valine)","['avocado', 'DL-methionine']","['strawberries', 'magnesium']","['cheese', 'capric acid']"
14,/film/film/distributors./film/film_film_distributor_relationship/region,distribution region,,distributionRegion,distributionRegion,distributionRegion,film distributors region,film distributors in United Kingdom,film distributed in specific region,"['Bridesmaids', 'United Kingdom']","['Glee: The 3D Concert Movie', 'United Kingdom']","['Batman Begins', 'United Kingdom']"
15,/time/event/instance_of_recurring_event,instance of recurring event,P31,instanceOfRecurringEventOf,instanceOfRecurringEvent,/wdt:P31,recurring event in the series,recurring event of,recurring instance of event,"['66th Academy Awards', 'Academy Awards']","['82nd Academy Awards', 'Academy Awards']","['39th Academy Awards', 'Academy Awards']"
16,/sports/professional_sports_team/draft_picks./sports/sports_league_draft_pick/school,school of draft pick,,/sports/draft_pick_from_school/,P793:172773,/sports/draft_pick/school,drafted from,school of draft pick,The professional sports team draft picks from school.,"['Milwaukee Bucks', 'University of Utah']","['Philadelphia Eagles', 'University of Arkansas']","['New York Knicks', 'University of Florida']"
17,/film/film/language,language of film,P407,language spoken in,P3642,language spoken in (P:135),Language spoken in film,films are in English,Languages spoken in films.,"['Das Boot', 'English']","['Red Cliff', 'Standard Mandarin']","['Shark Tale', 'English']"
18,/location/statistical_region/places_exported_to./location/imports_and_exports/exported_to,exported to,,P725,exportsTo,exportedTo,/exports to,/exported_to,/exported_to,"['Germany', 'Afghanistan']","['Madagascar', 'France']","['Venezuela', 'United States of America']"
19,/music/group_member/membership./music/group_membership/group,member of musical group,P463,memberOf,P527,P527,is a member of,is a member of,/music/group_membership/group,"['Hayley Williams', 'Paramore']","['Brian Wilson', 'The Beach Boys']","['Jello Biafra', 'Pigface']"
20,/tv/tv_network/programs./tv/tv_network_duration/program,aired tv programs,P448_inv,/tv/networkProgram,/tv/program_network,/tv/program_on_network,TV network programs duration program.,/tv/tv_network/programs./tv/tv_network_duration/program,/tv/tv_network/programs./tv/tv_network_duration/program,"['CBS', 'Survivor']","['American Broadcasting Company', 'Loving']","['Star Plus', 'Indian Idol']"
21,/award/award_winning_work/awards_won./award/award_honor/award_winner,nominee of work,P2453,P166:winner,P166,P166,/award/award_winning_work/won_by,/award/award_winner,award winner,"['Sesame Street', 'Roy Scheider']","['From the Earth to the Moon', 'Ron Howard']","['The Pursuit of Happyness', 'Will Smith']"
22,/people/person/places_lived./people/place_lived/location,residence,P551,location/originated in,locationOf,residence location,/place_lived/location in British Columbia,Location of places where people lived.,/people/person/places_lived./people/place_lived/location.,"['Brian Drummond', 'British Columbia']","['Emma Stone', 'Phoenix']","['Jerry Orbach', 'Scranton']"
23,/travel/travel_destination/climate./travel/travel_destination_monthly_climate/month,touring months,,P710,P5852,P6377,monthly climate of a travel destination,/travel/travel_destination/monthly_climate,monthly climate in March at Dallas,"['Singapore', 'August']","['Singapore', 'December']","['Sydney', 'September']"
24,/broadcast/content/artist,artist in this broadcast,,artistOf,artist,artistInBroadcast,is the artist represented by,artists featured in broadcast content,artist featured on broadcast content.,"['KYMX', 'Aerosmith']","['KYMX', 'Elvis Presley']","['KYMX', 'Rob Thomas']"
25,/base/americancomedy/celebrity_impressionist/celebrities_impersonated,impersonated,,/impressionistCelebritiesImpersonated,impressionistOf,celebrityImpersonatedBy,celebrities impersonated,celebrities impersonated by celebrity impressionists,celebrities impersonated by American comedy celebrity impressionist,"['Eddie Murphy', 'Stevie Wonder']","['Phil Hartman', 'Frank Sinatra']","['Phil Hartman', 'Arnold Schwarzenegger']"
26,/base/popstra/celebrity/breakup./base/popstra/breakup/participant,breakup,,/breakupParticipant,P672,P6821,participant in celebrity breakup,Breakup participant.,participated in celebrity breakups,"['Justin Timberlake', 'Britney Spears']","['Colin Farrell', 'Demi Moore']","['Liv Tyler', 'Joaquin Phoenix']"
27,/organization/organization/place_founded,location of formation,P740,FoundedIn,foundedIn,locationFoundedBy,place founded in,/place_founded,organization founded in place,"['Tribune Media', 'Chicago']","['Tecmo', 'Torrance']","['JVCKenwood Victor Entertainment', 'Yokohama']"
28,/people/person/employment_history./business/employment_tenure/company,employer,P108,employmentTenureCompany,/work/employer,employmentTenureCompany,employment history at company,Employment History at Company,employment_history./business/employment_tenure/company,"['Clive Davis', 'Sony Music']","['Dan Schneider', 'Warner Bros.']","['Hal Holbrook', 'United States Army']"
29,/location/statistical_region/gdp_nominal_per_capita./measurement_unit/dated_money_value/currency,gdp nominal per capita currency,P38,P2139,gdpNominalPerCapitaCurrency,P2131,/gdp_nominal_per_capita currency US dollar,GDP per capita in United States dollar,GDP per capita measured in United States dollar.,"['Papua New Guinea', 'United States dollar']","['Antigua and Barbuda', 'United States dollar']","['Latvia', 'United States dollar']"
30,/people/person/place_of_birth,place of birth,P19,P19,placeOfBirth,instance of (P19),Born in,was born in,Place of birth of person.,"['Meshell Ndegeocello', 'Berlin']","['Billy Boyd', 'Glasgow']","['Mitchell Hurwitz', 'Anaheim']"
31,/location/location/contains,contains the administrative territorial entity,P150,hasContainedLocation,hasSubdivision,locatedIn,contains,contained by,contains,"['Lazio', 'Province of Rome']","['Arlington County', 'Arlington National Cemetery']","['Merseyside', 'Birkenhead']"
32,/base/popstra/celebrity/dated./base/popstra/dated/participant,dated,P451,P86,date_participant,/datedParticipant,dated.,dated participant,celebrity dated participant,"['Zooey Deschanel', 'Martin Freeman']","['Diana Ross', 'Warren Beatty']","['Reese Witherspoon', ""Chris O'Donnell""]"
33,/user/ktrueman/default_domain/international_organization/member_states,organization has members,P463_inv,hasMember,memberOf,"instance of (Organization for Economic Cooperation and Development, member states, Luxembourg)",is a member of,/member_states,/member_states,"['World Trade Organization', 'Nicaragua']","['World Trade Organization', 'Argentina']","['World Trade Organization', 'Cameroon']"
